,year,date,hour,temp,humidity
0,2010,"Sun, Aug 1",12:51 am,62,83%
1,2010,"Sun, Aug 1",1:51 am,61,83%
2,2010,"Sun, Aug 1",2:51 am,62,80%
3,2010,"Sun, Aug 1",3:51 am,62,80%
4,2010,"Sun, Aug 1",4:51 am,62,80%
5,2010,"Sun, Aug 1",5:51 am,62,80%
6,2010,"Sun, Aug 1",6:51 am,61,83%
7,2010,"Sun, Aug 1",7:51 am,62,80%
8,2010,"Sun, Aug 1",9:09 am,64,73%
9,2010,"Sun, Aug 1",9:51 am,66,70%
10,2010,"Sun, Aug 1",10:51 am,67,68%
11,2010,"Sun, Aug 1",11:51 am,67,68%
12,2010,"Sun, Aug 1",12:51 pm,69,63%
13,2010,"Sun, Aug 1",1:51 pm,69,63%
14,2010,"Sun, Aug 1",2:51 pm,69,63%
15,2010,"Sun, Aug 1",3:51 pm,68,63%
16,2010,"Sun, Aug 1",4:51 pm,68,63%
17,2010,"Sun, Aug 1",5:51 pm,66,68%
18,2010,"Sun, Aug 1",6:51 pm,63,78%
19,2010,"Sun, Aug 1",7:51 pm,62,80%
20,2010,"Sun, Aug 1",9:09 pm,61,88%
21,2010,"Sun, Aug 1",9:58 pm,59,88%
22,2010,"Sun, Aug 1",11:07 pm,57,94%
23,2010,"Sun, Aug 1",11:51 pm,58,93%
24,2010,"Mon, Aug 2",12:51 am,62,83%
25,2010,"Mon, Aug 2",1:51 am,61,83%
26,2010,"Mon, Aug 2",2:51 am,62,80%
27,2010,"Mon, Aug 2",3:51 am,62,80%
28,2010,"Mon, Aug 2",4:51 am,62,80%
29,2010,"Mon, Aug 2",5:51 am,62,80%
30,2010,"Mon, Aug 2",6:51 am,61,83%
31,2010,"Mon, Aug 2",7:51 am,62,80%
32,2010,"Mon, Aug 2",9:09 am,64,73%
33,2010,"Mon, Aug 2",9:51 am,66,70%
34,2010,"Mon, Aug 2",10:51 am,67,68%
35,2010,"Mon, Aug 2",11:51 am,67,68%
36,2010,"Mon, Aug 2",12:51 pm,69,63%
37,2010,"Mon, Aug 2",1:51 pm,69,63%
38,2010,"Mon, Aug 2",2:51 pm,69,63%
39,2010,"Mon, Aug 2",3:51 pm,68,63%
40,2010,"Mon, Aug 2",4:51 pm,68,63%
41,2010,"Mon, Aug 2",5:51 pm,66,68%
42,2010,"Mon, Aug 2",6:51 pm,63,78%
43,2010,"Mon, Aug 2",7:51 pm,62,80%
44,2010,"Mon, Aug 2",9:09 pm,61,88%
45,2010,"Mon, Aug 2",9:58 pm,59,88%
46,2010,"Mon, Aug 2",11:07 pm,57,94%
47,2010,"Mon, Aug 2",11:51 pm,58,93%
48,2010,"Tue, Aug 3",12:51 am,62,83%
49,2010,"Tue, Aug 3",1:51 am,61,83%
50,2010,"Tue, Aug 3",2:51 am,62,80%
51,2010,"Tue, Aug 3",3:51 am,62,80%
52,2010,"Tue, Aug 3",4:51 am,62,80%
53,2010,"Tue, Aug 3",5:51 am,62,80%
54,2010,"Tue, Aug 3",6:51 am,61,83%
55,2010,"Tue, Aug 3",7:51 am,62,80%
56,2010,"Tue, Aug 3",9:09 am,64,73%
57,2010,"Tue, Aug 3",9:51 am,66,70%
58,2010,"Tue, Aug 3",10:51 am,67,68%
59,2010,"Tue, Aug 3",11:51 am,67,68%
60,2010,"Tue, Aug 3",12:51 pm,69,63%
61,2010,"Tue, Aug 3",1:51 pm,69,63%
62,2010,"Tue, Aug 3",2:51 pm,69,63%
63,2010,"Tue, Aug 3",3:51 pm,68,63%
64,2010,"Tue, Aug 3",4:51 pm,68,63%
65,2010,"Tue, Aug 3",5:51 pm,66,68%
66,2010,"Tue, Aug 3",6:51 pm,63,78%
67,2010,"Tue, Aug 3",7:51 pm,62,80%
68,2010,"Tue, Aug 3",9:09 pm,61,88%
69,2010,"Tue, Aug 3",9:58 pm,59,88%
70,2010,"Tue, Aug 3",11:07 pm,57,94%
71,2010,"Tue, Aug 3",11:51 pm,58,93%
72,2010,"Wed, Aug 4",12:51 am,62,83%
73,2010,"Wed, Aug 4",1:51 am,61,83%
74,2010,"Wed, Aug 4",2:51 am,62,80%
75,2010,"Wed, Aug 4",3:51 am,62,80%
76,2010,"Wed, Aug 4",4:51 am,62,80%
77,2010,"Wed, Aug 4",5:51 am,62,80%
78,2010,"Wed, Aug 4",6:51 am,61,83%
79,2010,"Wed, Aug 4",7:51 am,62,80%
80,2010,"Wed, Aug 4",9:09 am,64,73%
81,2010,"Wed, Aug 4",9:51 am,66,70%
82,2010,"Wed, Aug 4",10:51 am,67,68%
83,2010,"Wed, Aug 4",11:51 am,67,68%
84,2010,"Wed, Aug 4",12:51 pm,69,63%
85,2010,"Wed, Aug 4",1:51 pm,69,63%
86,2010,"Wed, Aug 4",2:51 pm,69,63%
87,2010,"Wed, Aug 4",3:51 pm,68,63%
88,2010,"Wed, Aug 4",4:51 pm,68,63%
89,2010,"Wed, Aug 4",5:51 pm,66,68%
90,2010,"Wed, Aug 4",6:51 pm,63,78%
91,2010,"Wed, Aug 4",7:51 pm,62,80%
92,2010,"Wed, Aug 4",9:09 pm,61,88%
93,2010,"Wed, Aug 4",9:58 pm,59,88%
94,2010,"Wed, Aug 4",11:07 pm,57,94%
95,2010,"Wed, Aug 4",11:51 pm,58,93%
96,2010,"Thu, Aug 5",12:51 am,62,83%
97,2010,"Thu, Aug 5",1:51 am,61,83%
98,2010,"Thu, Aug 5",2:51 am,62,80%
99,2010,"Thu, Aug 5",3:51 am,62,80%
100,2010,"Thu, Aug 5",4:51 am,62,80%
101,2010,"Thu, Aug 5",5:51 am,62,80%
102,2010,"Thu, Aug 5",6:51 am,61,83%
103,2010,"Thu, Aug 5",7:51 am,62,80%
104,2010,"Thu, Aug 5",9:09 am,64,73%
105,2010,"Thu, Aug 5",9:51 am,66,70%
106,2010,"Thu, Aug 5",10:51 am,67,68%
107,2010,"Thu, Aug 5",11:51 am,67,68%
108,2010,"Thu, Aug 5",12:51 pm,69,63%
109,2010,"Thu, Aug 5",1:51 pm,69,63%
110,2010,"Thu, Aug 5",2:51 pm,69,63%
111,2010,"Thu, Aug 5",3:51 pm,68,63%
112,2010,"Thu, Aug 5",4:51 pm,68,63%
113,2010,"Thu, Aug 5",5:51 pm,66,68%
114,2010,"Thu, Aug 5",6:51 pm,63,78%
115,2010,"Thu, Aug 5",7:51 pm,62,80%
116,2010,"Thu, Aug 5",9:09 pm,61,88%
117,2010,"Thu, Aug 5",9:58 pm,59,88%
118,2010,"Thu, Aug 5",11:07 pm,57,94%
119,2010,"Thu, Aug 5",11:51 pm,58,93%
120,2010,"Fri, Aug 6",12:51 am,62,83%
121,2010,"Fri, Aug 6",1:51 am,61,83%
122,2010,"Fri, Aug 6",2:51 am,62,80%
123,2010,"Fri, Aug 6",3:51 am,62,80%
124,2010,"Fri, Aug 6",4:51 am,62,80%
125,2010,"Fri, Aug 6",5:51 am,62,80%
126,2010,"Fri, Aug 6",6:51 am,61,83%
127,2010,"Fri, Aug 6",7:51 am,62,80%
128,2010,"Fri, Aug 6",9:09 am,64,73%
129,2010,"Fri, Aug 6",9:51 am,66,70%
130,2010,"Fri, Aug 6",10:51 am,67,68%
131,2010,"Fri, Aug 6",11:51 am,67,68%
132,2010,"Fri, Aug 6",12:51 pm,69,63%
133,2010,"Fri, Aug 6",1:51 pm,69,63%
134,2010,"Fri, Aug 6",2:51 pm,69,63%
135,2010,"Fri, Aug 6",3:51 pm,68,63%
136,2010,"Fri, Aug 6",4:51 pm,68,63%
137,2010,"Fri, Aug 6",5:51 pm,66,68%
138,2010,"Fri, Aug 6",6:51 pm,63,78%
139,2010,"Fri, Aug 6",7:51 pm,62,80%
140,2010,"Fri, Aug 6",9:09 pm,61,88%
141,2010,"Fri, Aug 6",9:58 pm,59,88%
142,2010,"Fri, Aug 6",11:07 pm,57,94%
143,2010,"Fri, Aug 6",11:51 pm,58,93%
144,2010,"Sat, Aug 7",12:51 am,62,83%
145,2010,"Sat, Aug 7",1:51 am,61,83%
146,2010,"Sat, Aug 7",2:51 am,62,80%
147,2010,"Sat, Aug 7",3:51 am,62,80%
148,2010,"Sat, Aug 7",4:51 am,62,80%
149,2010,"Sat, Aug 7",5:51 am,62,80%
150,2010,"Sat, Aug 7",6:51 am,61,83%
151,2010,"Sat, Aug 7",7:51 am,62,80%
152,2010,"Sat, Aug 7",9:09 am,64,73%
153,2010,"Sat, Aug 7",9:51 am,66,70%
154,2010,"Sat, Aug 7",10:51 am,67,68%
155,2010,"Sat, Aug 7",11:51 am,67,68%
156,2010,"Sat, Aug 7",12:51 pm,69,63%
157,2010,"Sat, Aug 7",1:51 pm,69,63%
158,2010,"Sat, Aug 7",2:51 pm,69,63%
159,2010,"Sat, Aug 7",3:51 pm,68,63%
160,2010,"Sat, Aug 7",4:51 pm,68,63%
161,2010,"Sat, Aug 7",5:51 pm,66,68%
162,2010,"Sat, Aug 7",6:51 pm,63,78%
163,2010,"Sat, Aug 7",7:51 pm,62,80%
164,2010,"Sat, Aug 7",9:09 pm,61,88%
165,2010,"Sat, Aug 7",9:58 pm,59,88%
166,2010,"Sat, Aug 7",11:07 pm,57,94%
167,2010,"Sat, Aug 7",11:51 pm,58,93%
168,2010,"Sun, Aug 8",12:51 am,62,83%
169,2010,"Sun, Aug 8",1:51 am,61,83%
170,2010,"Sun, Aug 8",2:51 am,62,80%
171,2010,"Sun, Aug 8",3:51 am,62,80%
172,2010,"Sun, Aug 8",4:51 am,62,80%
173,2010,"Sun, Aug 8",5:51 am,62,80%
174,2010,"Sun, Aug 8",6:51 am,61,83%
175,2010,"Sun, Aug 8",7:51 am,62,80%
176,2010,"Sun, Aug 8",9:09 am,64,73%
177,2010,"Sun, Aug 8",9:51 am,66,70%
178,2010,"Sun, Aug 8",10:51 am,67,68%
179,2010,"Sun, Aug 8",11:51 am,67,68%
180,2010,"Sun, Aug 8",12:51 pm,69,63%
181,2010,"Sun, Aug 8",1:51 pm,69,63%
182,2010,"Sun, Aug 8",2:51 pm,69,63%
183,2010,"Sun, Aug 8",3:51 pm,68,63%
184,2010,"Sun, Aug 8",4:51 pm,68,63%
185,2010,"Sun, Aug 8",5:51 pm,66,68%
186,2010,"Sun, Aug 8",6:51 pm,63,78%
187,2010,"Sun, Aug 8",7:51 pm,62,80%
188,2010,"Sun, Aug 8",9:09 pm,61,88%
189,2010,"Sun, Aug 8",9:58 pm,59,88%
190,2010,"Sun, Aug 8",11:07 pm,57,94%
191,2010,"Sun, Aug 8",11:51 pm,58,93%
192,2010,"Mon, Aug 9",12:51 am,62,83%
193,2010,"Mon, Aug 9",1:51 am,61,83%
194,2010,"Mon, Aug 9",2:51 am,62,80%
195,2010,"Mon, Aug 9",3:51 am,62,80%
196,2010,"Mon, Aug 9",4:51 am,62,80%
197,2010,"Mon, Aug 9",5:51 am,62,80%
198,2010,"Mon, Aug 9",6:51 am,61,83%
199,2010,"Mon, Aug 9",7:51 am,62,80%
200,2010,"Mon, Aug 9",9:09 am,64,73%
201,2010,"Mon, Aug 9",9:51 am,66,70%
202,2010,"Mon, Aug 9",10:51 am,67,68%
203,2010,"Mon, Aug 9",11:51 am,67,68%
204,2010,"Mon, Aug 9",12:51 pm,69,63%
205,2010,"Mon, Aug 9",1:51 pm,69,63%
206,2010,"Mon, Aug 9",2:51 pm,69,63%
207,2010,"Mon, Aug 9",3:51 pm,68,63%
208,2010,"Mon, Aug 9",4:51 pm,68,63%
209,2010,"Mon, Aug 9",5:51 pm,66,68%
210,2010,"Mon, Aug 9",6:51 pm,63,78%
211,2010,"Mon, Aug 9",7:51 pm,62,80%
212,2010,"Mon, Aug 9",9:09 pm,61,88%
213,2010,"Mon, Aug 9",9:58 pm,59,88%
214,2010,"Mon, Aug 9",11:07 pm,57,94%
215,2010,"Mon, Aug 9",11:51 pm,58,93%
216,2010,"Tue, Aug 10",12:51 am,62,83%
217,2010,"Tue, Aug 10",1:51 am,61,83%
218,2010,"Tue, Aug 10",2:51 am,62,80%
219,2010,"Tue, Aug 10",3:51 am,62,80%
220,2010,"Tue, Aug 10",4:51 am,62,80%
221,2010,"Tue, Aug 10",5:51 am,62,80%
222,2010,"Tue, Aug 10",6:51 am,61,83%
223,2010,"Tue, Aug 10",7:51 am,62,80%
224,2010,"Tue, Aug 10",9:09 am,64,73%
225,2010,"Tue, Aug 10",9:51 am,66,70%
226,2010,"Tue, Aug 10",10:51 am,67,68%
227,2010,"Tue, Aug 10",11:51 am,67,68%
228,2010,"Tue, Aug 10",12:51 pm,69,63%
229,2010,"Tue, Aug 10",1:51 pm,69,63%
230,2010,"Tue, Aug 10",2:51 pm,69,63%
231,2010,"Tue, Aug 10",3:51 pm,68,63%
232,2010,"Tue, Aug 10",4:51 pm,68,63%
233,2010,"Tue, Aug 10",5:51 pm,66,68%
234,2010,"Tue, Aug 10",6:51 pm,63,78%
235,2010,"Tue, Aug 10",7:51 pm,62,80%
236,2010,"Tue, Aug 10",9:09 pm,61,88%
237,2010,"Tue, Aug 10",9:58 pm,59,88%
238,2010,"Tue, Aug 10",11:07 pm,57,94%
239,2010,"Tue, Aug 10",11:51 pm,58,93%
240,2010,"Wed, Aug 11",12:51 am,62,83%
241,2010,"Wed, Aug 11",1:51 am,61,83%
242,2010,"Wed, Aug 11",2:51 am,62,80%
243,2010,"Wed, Aug 11",3:51 am,62,80%
244,2010,"Wed, Aug 11",4:51 am,62,80%
245,2010,"Wed, Aug 11",5:51 am,62,80%
246,2010,"Wed, Aug 11",6:51 am,61,83%
247,2010,"Wed, Aug 11",7:51 am,62,80%
248,2010,"Wed, Aug 11",9:09 am,64,73%
249,2010,"Wed, Aug 11",9:51 am,66,70%
250,2010,"Wed, Aug 11",10:51 am,67,68%
251,2010,"Wed, Aug 11",11:51 am,67,68%
252,2010,"Wed, Aug 11",12:51 pm,69,63%
253,2010,"Wed, Aug 11",1:51 pm,69,63%
254,2010,"Wed, Aug 11",2:51 pm,69,63%
255,2010,"Wed, Aug 11",3:51 pm,68,63%
